0	กรุงเทพมหานคร	5,686,646	5,696,409	5,692,284	5,686,252	5,673,560	5,674,843	5,701,394	5,702,595	5,710,883	5,716,248	5,695,956	5,658,953	5,634,132	5,844,607	5,782,159
1	นครราชสีมา	2,631,435	2,628,818	2,620,517	2,610,164	2,601,167	2,585,325	2,582,089	2,571,292	2,565,117	2,552,894	2,555,346	2,546,763	2,539,344	2,591,050	2,581,244
2	อุบลราชธานี	1,862,965	1,857,429	1,844,669	1,836,523	1,826,920	1,816,057	1,813,088	1,803,754	1,795,453	1,785,709	1,783,035	1,774,808	1,763,061	1,805,322	1,792,774
3	ขอนแก่น	1,801,753	1,798,014	1,790,049	1,781,655	1,774,816	1,766,066	1,767,601	1,762,242	1,756,101	1,752,414	1,749,935	1,747,542	1,741,749	1,770,605	1,767,643
4	เชียงใหม่	1,735,762	1,728,242	1,678,284	1,666,888	1,655,642	1,646,144	1,640,479	1,632,548	1,670,317	1,664,399	1,661,020	1,650,009	1,630,769	1,603,220	1,595,855
5	บุรีรัมย์	1,587,897	1,584,661	1,579,248	1,573,438	1,566,740	1,559,085	1,553,765	1,546,784	1,541,650	1,536,070	1,536,045	1,531,430	1,524,261	1,554,009	1,545,779
6	อุดรธานี	1,578,783	1,575,152	1,570,300	1,563,964	1,557,298	1,548,107	1,544,786	1,538,940	1,535,629	1,530,686	1,526,722	1,523,802	1,518,502	1,542,071	1,535,471
7	นครศรีธรรมราช	1,554,432	1,552,530	1,548,028	1,541,843	1,534,887	1,526,071	1,522,561	1,516,499	1,513,163	1,506,997	1,509,378	1,504,420	1,500,343	1,531,072	1,533,894
8	ชลบุรี	1,483,049	1,455,039	1,421,425	1,390,354	1,364,002	1,338,656	1,316,293	1,289,590	1,264,687	1,233,446	1,205,574	1,172,432	1,142,985	1,157,111	1,129,886
9	ศรีสะเกษ	1,470,341	1,468,798	1,465,213	1,462,028	1,458,370	1,452,203	1,452,471	1,446,345	1,441,412	1,443,011	1,446,494	1,443,975	1,440,404	1,465,538	1,458,969
10	สงขลา	1,417,440	1,410,577	1,401,303	1,389,890	1,378,574	1,367,010	1,357,023	1,343,954	1,335,768	1,324,915	1,314,395	1,302,421	1,281,509	1,294,442	1,271,067
11	สุรินทร์	1,395,567	1,395,024	1,391,636	1,388,194	1,386,277	1,380,399	1,381,761	1,377,827	1,375,560	1,372,672	1,375,567	1,374,700	1,371,429	1,406,612	1,399,377
12	ร้อยเอ็ด	1,307,982	1,308,166	1,308,318	1,308,958	1,308,570	1,305,058	1,309,708	1,308,159	1,307,212	1,308,589	1,309,939	1,310,672	1,310,250	1,322,389	1,322,864
